Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week
14.0,2011-05-06,2095599.93,0.0,61.33355932203389,4.046,185.9374378,8.521,2011,5,18
7.0,2011-05-13,414094.05,0.0,36.61,3.767,192.826069,8.595,2011,5,19
5.0,2011-05-13,290930.01,0.0,77.38,3.899,216.5343611,6.489,2011,5,19
16.0,2011-05-20,435397.19,0.0,43.95,3.828,192.831317,6.339,2011,5,20
1.0,2011-05-27,1466046.67,0.0,61.33355932203389,3.786,215.5037878,7.682,2011,5,21
15.0,2011-06-03,695396.19,0.0,69.8,4.069,134.85516130000002,7.657999999999999,2011,6,22
19.0,2011-06-10,1467473.63,0.0,68.26,3.8194999999999997,134.94254840000002,7.657999999999999,2011,6,23
4.0,2011-06-24,2008344.92,0.0,81.85,3.57,129.0663,5.9460000000000015,2011,6,25
4.0,2011-07-08,2066541.86,0.0,84.59,3.469,129.1125,5.644,2011,7,27
14.0,2011-07-15,1953544.76,0.0,78.47,3.76,186.1399808,8.625,2011,7,28
4.0,2011-07-22,2036231.39,0.0,82.84,3.627,129.1507742,5.644,2011,7,29
5.0,2011-07-29,275142.17,0.0,89.42,3.682,216.0464364,6.529,2011,7,30
1.0,2011-08-05,1624383.75,0.0,91.65,3.684,215.544618,7.9620000000000015,2011,8,31
13.0,2011-08-12,1970341.38,0.0,75.95,3.606,129.2015806,6.877000000000002,2011,8,32
8.0,2011-08-12,856796.1,0.0,86.05,3.638,219.0075249,9.964,2011,8,32
8.0,2011-08-19,895066.5,0.0,82.92,3.554,219.07019680000005,6.425,2011,8,33
7.0,2011-08-26,629994.47,0.0,57.6,3.485,194.3796374,8.622,2011,8,34
6.0,2011-08-26,1420405.41,0.0,61.33355932203389,3.523,217.2706543,6.925,2011,8,34
13.0,2011-09-23,1847430.96,0.0,63.6,3.648,129.5183333,6.877000000000002,2011,9,38
3.0,2011-09-23,365248.94,0.0,80.19,3.467,219.7414914,7.567,2011,9,38
3.0,2011-10-07,403342.4,0.0,75.54,3.285,219.15572674999999,7.197,2011,10,40
5.0,2011-11-11,311906.7,0.0,60.71,3.297,218.5699621,6.3,2011,11,45
3.0,2011-11-18,398838.97,0.0,63.91,3.3080000000000003,221.6432852,7.197,2011,11,46
1.0,2011-11-18,1539483.7,0.0,62.25,3.3080000000000003,218.2205088,7.866,2011,11,46
4.0,2011-12-16,2771397.17,0.0,36.44,3.149,129.8980645,5.143,2011,12,50
2.0,2011-12-16,2432736.52,0.0,50.13,3.1390000000000002,175.00794355,7.441,2011,12,50
2.0,2012-01-06,1799520.14,0.0,46.75,3.1950000000000003,219.355063,7.057,2012,1,1
3.0,2012-01-13,367438.62,0.0,51.86,3.261,174.8171444,6.832999999999998,2012,1,2
13.0,2012-01-20,1811606.21,0.0,32.71,3.439,130.27922579999998,6.104,2012,1,3
20.0,2012-02-03,2203523.2,0.0,39.93,3.617,213.0236225,6.961,2012,2,5
14.0,2012-02-10,2077256.24,1.0,37.0,3.3600000000000003,204.97156404999998,8.424,2012,2,6
7.0,2012-02-10,563460.77,1.0,18.79,3.103,196.9195056,8.256,2012,2,6
14.0,2012-02-17,2020550.99,0.0,36.85,3.695,189.8424834,8.424,2012,2,7
2.0,2012-02-24,1861802.7,0.0,54.63,3.555,220.275944,7.057,2012,2,8
10.0,2012-03-02,1990371.02,0.0,57.62,3.882,130.6457931,7.545,2012,3,9
1.0,2012-03-16,1677472.78,0.0,64.74,3.734,221.2118132,7.348,2012,3,11
13.0,2012-03-16,2025582.62,0.0,52.5,3.529,130.82619350000002,6.104,2012,3,11
15.0,2012-03-16,570611.23,0.0,47.42,4.021,137.5843871,7.943,2012,3,11
16.0,2012-03-30,485095.41,0.0,48.29,3.75,197.4133259,6.162000000000001,2012,3,13
19.0,2012-04-20,1255087.26,0.0,55.2,4.17,137.9230667,8.15,2012,4,16
7.0,2012-04-20,457340.06,0.0,39.3,3.936,197.7227385,8.09,2012,4,16
18.0,2012-04-27,961186.23,0.0,50.43,4.023,137.9781333,8.304,2012,4,17
19.0,2012-05-04,1405007.44,0.0,50.76,4.124,138.0332,8.15,2012,5,18
3.0,2012-05-11,431985.36,0.0,75.19,3.688,225.2351496,6.664,2012,5,19
7.0,2012-05-25,532739.77,0.0,50.6,3.804,197.5886046,8.09,2012,5,21
13.0,2012-06-01,2035431.39,0.0,61.11,3.788,130.95922579999998,5.965,2012,6,22
19.0,2012-06-22,1468350.36,0.0,61.33355932203389,3.722,138.1629,8.15,2012,6,25
3.0,2012-06-22,419497.95,0.0,82.7,3.346,225.3068615,6.664,2012,6,25
10.0,2012-07-06,1805999.79,0.0,86.87,3.666,130.7196333,7.17,2012,7,27
7.0,2012-09-07,597876.55,1.0,57.84,3.596,198.0950484,7.872000000000001,2012,9,36
16.0,2012-09-14,526525.16,0.0,61.33355932203389,3.659,198.1267184,6.061,2012,9,37
17.0,2012-10-12,919878.34,0.0,44.82,3.797,131.1083333,5.527,2012,10,41
18.0,2012-10-12,1074079.0,0.0,50.97,4.029,138.9117,8.243,2012,10,41
3.0,2012-10-19,424513.08,0.0,73.44,3.594,226.9688442,6.034,2012,10,42
5.0,2012-10-19,313358.15,0.0,69.17,3.594,224.0192873,5.4220000000000015,2012,10,42
1.0,2012-10-19,1508068.77,0.0,67.97,3.594,223.4257233,5.4220000000000015,2012,10,42
